Publicly Available Diabetes Datasets,Zero-order Hold Mean RMSE (mg/dL),Zero-order Hold STD (mg/dL),Simple Linear Regression Mean RMSE (mg/dL),Simple Linear Regression STD (mg/dL)
OhioT1DM,23.27,2.92,28.08,4.8
T1DEXI,24.03,5.38,29.8,6.28
BIG IDEAs,16.11,2.72,23.86,3.91
DiaTrend,28.14,4.96,35.0,5.29
ShanghaiT1DM,20.58,3.39,21.7,3.2
ShanghaiT2DM,17.51,4.04,19.82,4.48
T1DiabetesGranada,24.81,5.17,28.08,5.7
AI-READI,19.16,4.96,30.67,7.06
UCHTT1DM,19.28,7.1,30.41,4.0
CGMacros,19.9,4.68,30.59,5.64
